震源编号,震源坐标-x,震源坐标-y,震源坐标-z,发震时刻t,台站坐标-x,台站坐标-y,台站坐标-z,台站P波到时,震源-台站传播时间,震源事件文件名
1,522.4258,492.7805,388.7909,0,500,500,900,92.299998,92.299998,source_1
1,522.4258,492.7805,388.7909,0,783,500,783,84.799998,84.799998,source_1
1,522.4258,492.7805,388.7909,0,500,783,783,87.499999,87.499999,source_1
1,522.4258,492.7805,388.7909,0,500,217,783,86.300001,86.300001,source_1
1,522.4258,492.7805,388.7909,0,900,500,500,67.699999,67.699999,source_1
1,522.4258,492.7805,388.7909,0,700,846,500,71.3,71.3,source_1
1,522.4258,492.7805,388.7909,0,300,846,500,77.299997,77.299997,source_1
1,522.4258,492.7805,388.7909,0,100,500,500,77.299997,77.299997,source_1
1,522.4258,492.7805,388.7909,0,300,154,500,73.700003,73.700003,source_1
1,522.4258,492.7805,388.7909,0,700,154,500,67.699999,67.699999,source_1
1,522.4258,492.7805,388.7909,0,700,700,217,49.1,49.1,source_1
1,522.4258,492.7805,388.7909,0,300,700,217,57.500001,57.500001,source_1
1,522.4258,492.7805,388.7909,0,300,300,217,53.9,53.9,source_1
1,522.4258,492.7805,388.7909,0,700,300,217,47.600001,47.600001,source_1
1,522.4258,492.7805,388.7909,0,500,500,100,42.800002,42.800002,source_1
2,508.3887,481.3181,677.4014,0,500,500,900,24.800001,24.800001,source_2
2,508.3887,481.3181,677.4014,0,783,500,783,42.800002,42.800002,source_2
2,508.3887,481.3181,677.4014,0,500,783,783,49.699999,49.699999,source_2
2,508.3887,481.3181,677.4014,0,217,500,783,47.899999,47.899999,source_2
2,508.3887,481.3181,677.4014,0,500,217,783,41.6,41.6,source_2
2,508.3887,481.3181,677.4014,0,900,500,500,77.299997,77.299997,source_2
2,508.3887,481.3181,677.4014,0,700,846,500,81.500001,81.500001,source_2
2,508.3887,481.3181,677.4014,0,300,846,500,82.400002,82.400002,source_2
2,508.3887,481.3181,677.4014,0,100,500,500,81.200004,81.200004,source_2
2,508.3887,481.3181,677.4014,0,300,154,500,76.700002,76.700002,source_2
2,508.3887,481.3181,677.4014,0,700,154,500,73.100001,73.100001,source_2
2,508.3887,481.3181,677.4014,0,500,500,100,109.999999,109.999999,source_2
3,471.9653,479.0004,562.5142,0,500,500,900,53.599998,53.599998,source_3
3,471.9653,479.0004,562.5142,0,783,500,783,61.999999,61.999999,source_3
3,471.9653,479.0004,562.5142,0,500,783,783,60.800001,60.800001,source_3
3,471.9653,479.0004,562.5142,0,217,500,783,52.700002,52.700002,source_3
3,471.9653,479.0004,562.5142,0,500,217,783,53.9,53.9,source_3
3,471.9653,479.0004,562.5142,0,900,500,500,76.099999,76.099999,source_3
3,471.9653,479.0004,562.5142,0,700,846,500,76.099999,76.099999,source_3
3,471.9653,479.0004,562.5142,0,300,846,500,70.4,70.4,source_3
3,471.9653,479.0004,562.5142,0,100,500,500,61.999999,61.999999,source_3
3,471.9653,479.0004,562.5142,0,300,154,500,61.700001,61.700001,source_3
3,471.9653,479.0004,562.5142,0,700,154,500,68.899997,68.899997,source_3
3,471.9653,479.0004,562.5142,0,300,700,217,76.099999,76.099999,source_3
3,471.9653,479.0004,562.5142,0,300,300,217,71.3,71.3,source_3
3,471.9653,479.0004,562.5142,0,500,500,100,81.200004,81.200004,source_3
4,676.7615,382.1277,304.973,0,500,500,900,125.599995,125.599995,source_4
4,676.7615,382.1277,304.973,0,783,500,783,96.500002,96.500002,source_4
4,676.7615,382.1277,304.973,0,500,217,783,104.900002,104.900002,source_4
4,676.7615,382.1277,304.973,0,900,500,500,48.799999,48.799999,source_4
4,676.7615,382.1277,304.973,0,700,846,500,96.500002,96.500002,source_4
4,676.7615,382.1277,304.973,0,100,500,500,124.399997,124.399997,source_4
4,676.7615,382.1277,304.973,0,300,154,500,91.700003,91.700003,source_4
4,676.7615,382.1277,304.973,0,700,154,500,44,44,source_4
4,676.7615,382.1277,304.973,0,700,700,217,52.4,52.4,source_4
4,676.7615,382.1277,304.973,0,300,700,217,108.800001,108.800001,source_4
4,676.7615,382.1277,304.973,0,300,300,217,70.100002,70.100002,source_4
4,676.7615,382.1277,304.973,0,500,500,100,42.800002,42.800002,source_4
5,560.1078,563.5941,463.3436,0,500,500,900,77.600002,77.600002,source_5
5,560.1078,563.5941,463.3436,0,783,500,783,67.100003,67.100003,source_5
5,560.1078,563.5941,463.3436,0,500,783,783,66.500001,66.500001,source_5
5,560.1078,563.5941,463.3436,0,217,500,783,82.699999,82.699999,source_5
5,560.1078,563.5941,463.3436,0,500,217,783,83.300002,83.300002,source_5
5,560.1078,563.5941,463.3436,0,900,500,500,68.300001,68.300001,source_5
5,560.1078,563.5941,463.3436,0,700,846,500,47.600001,47.600001,source_5
5,560.1078,563.5941,463.3436,0,300,846,500,76.099999,76.099999,source_5
5,560.1078,563.5941,463.3436,0,100,500,500,94.400004,94.400004,source_5
5,560.1078,563.5941,463.3436,0,300,154,500,98.899998,98.899998,source_5
5,560.1078,563.5941,463.3436,0,700,154,500,85.699998,85.699998,source_5
5,560.1078,563.5941,463.3436,0,700,700,217,46.700001,46.700001,source_5
5,560.1078,563.5941,463.3436,0,300,700,217,61.999999,61.999999,source_5
5,560.1078,563.5941,463.3436,0,300,300,217,77.299997,77.299997,source_5
5,560.1078,563.5941,463.3436,0,700,300,217,62.3,62.3,source_5
5,560.1078,563.5941,463.3436,0,500,500,100,61.099999,61.099999,source_5
6,428.0301,646.105,394.3944,0,500,500,900,101.300001,101.300001,source_6
6,428.0301,646.105,394.3944,0,500,783,783,74.900001,74.900001,source_6
6,428.0301,646.105,394.3944,0,217,500,783,86.300001,86.300001,source_6
6,428.0301,646.105,394.3944,0,900,500,500,107.600003,107.600003,source_6
6,428.0301,646.105,394.3944,0,700,846,500,58.1,58.1,source_6
6,428.0301,646.105,394.3944,0,300,846,500,34.1,34.1,source_6
6,428.0301,646.105,394.3944,0,100,500,500,64.400002,64.400002,source_6
6,428.0301,646.105,394.3944,0,300,154,500,212.300003,212.300003,source_6
6,428.0301,646.105,394.3944,0,700,154,500,119.3,119.3,source_6
6,428.0301,646.105,394.3944,0,700,700,217,52.4,52.4,source_6
6,428.0301,646.105,394.3944,0,300,700,217,25.1,25.1,source_6
6,428.0301,646.105,394.3944,0,300,300,217,72.499998,72.499998,source_6
6,428.0301,646.105,394.3944,0,700,300,217,88.100001,88.100001,source_6
6,428.0301,646.105,394.3944,0,500,500,100,53.9,53.9,source_6
7,575.611,478.3348,603.5613,0,500,500,900,46.399999,46.399999,source_7
7,575.611,478.3348,603.5613,0,783,500,783,37.999999,37.999999,source_7
7,575.611,478.3348,603.5613,0,500,783,783,60.5,60.5,source_7
7,575.611,478.3348,603.5613,0,217,500,783,71.3,71.3,source_7
7,575.611,478.3348,603.5613,0,500,217,783,51.199999,51.199999,source_7
7,575.611,478.3348,603.5613,0,900,500,500,55.7,55.7,source_7
7,575.611,478.3348,603.5613,0,700,846,500,71.3,71.3,source_7
7,575.611,478.3348,603.5613,0,300,846,500,95.299996,95.299996,source_7
7,575.611,478.3348,603.5613,0,100,500,500,100.699998,100.699998,source_7
7,575.611,478.3348,603.5613,0,300,154,500,78.500003,78.500003,source_7
7,575.611,478.3348,603.5613,0,700,154,500,60.800001,60.800001,source_7
7,575.611,478.3348,603.5613,0,700,700,217,80.899999,80.899999,source_7
7,575.611,478.3348,603.5613,0,300,300,217,90.499997,90.499997,source_7
7,575.611,478.3348,603.5613,0,700,300,217,77.9,77.9,source_7
7,575.611,478.3348,603.5613,0,500,500,100,91.700003,91.700003,source_7
8,542.6943,639.074,456.3869,0,500,500,900,86.300001,86.300001,source_8
8,542.6943,639.074,456.3869,0,783,500,783,77.299997,77.299997,source_8
8,542.6943,639.074,456.3869,0,500,783,783,59.599999,59.599999,source_8
8,542.6943,639.074,456.3869,0,500,217,783,99.200003,99.200003,source_8
8,542.6943,639.074,456.3869,0,900,500,500,76.099999,76.099999,source_8
8,542.6943,639.074,456.3869,0,700,846,500,37.700001,37.700001,source_8
8,542.6943,639.074,456.3869,0,100,500,500,97.099997,97.099997,source_8
8,542.6943,639.074,456.3869,0,300,154,500,111.199997,111.199997,source_8
8,542.6943,639.074,456.3869,0,700,154,500,240.500003,240.500003,source_8
8,542.6943,639.074,456.3869,0,700,700,217,43.099999,43.099999,source_8
8,542.6943,639.074,456.3869,0,300,700,217,56.299999,56.299999,source_8
8,542.6943,639.074,456.3869,0,300,300,217,86.300001,86.300001,source_8
8,542.6943,639.074,456.3869,0,700,300,217,79.700001,79.700001,source_8
8,542.6943,639.074,456.3869,0,500,500,100,65.899998,65.899998,source_8
9,359.0443,373.9848,393.714,0,500,500,900,104.900002,104.900002,source_9
9,359.0443,373.9848,393.714,0,217,500,783,78.500003,78.500003,source_9
9,359.0443,373.9848,393.714,0,500,217,783,81.200004,81.200004,source_9
9,359.0443,373.9848,393.714,0,900,500,500,119.900003,119.900003,source_9
9,359.0443,373.9848,393.714,0,700,846,500,124.1,124.1,source_9
9,359.0443,373.9848,393.714,0,100,500,500,47.600001,47.600001,source_9
9,359.0443,373.9848,393.714,0,300,154,500,33.500001,33.500001,source_9
9,359.0443,373.9848,393.714,0,700,154,500,76.700002,76.700002,source_9
9,359.0443,373.9848,393.714,0,700,700,217,94.700001,94.700001,source_9
9,359.0443,373.9848,393.714,0,300,700,217,61.999999,61.999999,source_9
9,359.0443,373.9848,393.714,0,300,300,217,20,20,source_9
9,359.0443,373.9848,393.714,0,700,300,217,67.100003,67.100003,source_9
9,359.0443,373.9848,393.714,0,500,500,100,57.2,57.2,source_9
10,546.9016,510.5012,471.2368,0,500,500,900,73.100001,73.100001,source_10
10,546.9016,510.5012,471.2368,0,783,500,783,65.6,65.6,source_10
10,546.9016,510.5012,471.2368,0,500,783,783,71.3,71.3,source_10
10,546.9016,510.5012,471.2368,0,217,500,783,78.500003,78.500003,source_10
10,546.9016,510.5012,471.2368,0,500,217,783,73.700003,73.700003,source_10
10,546.9016,510.5012,471.2368,0,900,500,500,71.3,71.3,source_10
10,546.9016,510.5012,471.2368,0,700,846,500,72.800003,72.800003,source_10
10,546.9016,510.5012,471.2368,0,300,846,500,82.699999,82.699999,source_10
10,546.9016,510.5012,471.2368,0,100,500,500,90.499997,90.499997,source_10
10,546.9016,510.5012,471.2368,0,300,154,500,85.699998,85.699998,source_10
10,546.9016,510.5012,471.2368,0,700,154,500,76.700002,76.700002,source_10
10,546.9016,510.5012,471.2368,0,700,700,217,53.9,53.9,source_10
10,546.9016,510.5012,471.2368,0,300,700,217,67.100003,67.100003,source_10
10,546.9016,510.5012,471.2368,0,300,300,217,68.300001,68.300001,source_10
10,546.9016,510.5012,471.2368,0,700,300,217,58.400001,58.400001,source_10
10,546.9016,510.5012,471.2368,0,500,500,100,62.3,62.3,source_10
11,334.6748,352.3857,355.2557,0,500,500,900,116.899997,116.899997,source_11
11,334.6748,352.3857,355.2557,0,783,500,783,124.1,124.1,source_11
11,334.6748,352.3857,355.2557,0,500,783,783,124.1,124.1,source_11
11,334.6748,352.3857,355.2557,0,217,500,783,86.300001,86.300001,source_11
11,334.6748,352.3857,355.2557,0,500,217,783,88.100001,88.100001,source_11
11,334.6748,352.3857,355.2557,0,900,500,500,131.899998,131.899998,source_11
11,334.6748,352.3857,355.2557,0,700,846,500,138.500005,138.500005,source_11
11,334.6748,352.3857,355.2557,0,300,846,500,100.100003,100.100003,source_11
11,334.6748,352.3857,355.2557,0,100,500,500,47.899999,47.899999,source_11
11,334.6748,352.3857,355.2557,0,300,154,500,31.099999,31.099999,source_11
11,334.6748,352.3857,355.2557,0,700,154,500,81.500001,81.500001,source_11
11,334.6748,352.3857,355.2557,0,700,700,217,100.400001,100.400001,source_11
11,334.6748,352.3857,355.2557,0,300,700,217,62.899999,62.899999,source_11
11,334.6748,352.3857,355.2557,0,700,300,217,67.699999,67.699999,source_11
11,334.6748,352.3857,355.2557,0,500,500,100,54.499999,54.499999,source_11
12,618.2222,497.9139,462.3088,0,500,500,900,81.200004,81.200004,source_12
12,618.2222,497.9139,462.3088,0,783,500,783,59.300002,59.300002,source_12
12,618.2222,497.9139,462.3088,0,500,783,783,78.500003,78.500003,source_12
12,618.2222,497.9139,462.3088,0,500,217,783,78.500003,78.500003,source_12
12,618.2222,497.9139,462.3088,0,900,500,500,42.5,42.5,source_12
12,618.2222,497.9139,462.3088,0,700,846,500,71.3,71.3,source_12
12,618.2222,497.9139,462.3088,0,300,846,500,96.799999,96.799999,source_12
12,618.2222,497.9139,462.3088,0,100,500,500,106.399998,106.399998,source_12
12,618.2222,497.9139,462.3088,0,300,154,500,95.299996,95.299996,source_12
12,618.2222,497.9139,462.3088,0,700,154,500,71.3,71.3,source_12
12,618.2222,497.9139,462.3088,0,700,700,217,51.5,51.5,source_12
12,618.2222,497.9139,462.3088,0,300,700,217,79.999998,79.999998,source_12
12,618.2222,497.9139,462.3088,0,300,300,217,79.700001,79.700001,source_12
12,618.2222,497.9139,462.3088,0,700,300,217,49.1,49.1,source_12
12,618.2222,497.9139,462.3088,0,500,500,100,64.400002,64.400002,source_12
13,431.5081,327.8349,532.2314,0,500,500,900,72.800003,72.800003,source_13
13,431.5081,327.8349,532.2314,0,783,500,783,86.000003,86.000003,source_13
13,431.5081,327.8349,532.2314,0,500,783,783,98.899998,98.899998,source_13
13,431.5081,327.8349,532.2314,0,217,500,783,61.999999,61.999999,source_13
13,431.5081,327.8349,532.2314,0,500,217,783,39.2,39.2,source_13
